id,idade,sexo,escolaridade,estadocivil,ocupacao,tempodeservico,religiao,contatoanterior,lidadiretamente,lida.onde,materialdidatico,prazoatividades,interacaopares,organizacaocurso,import.ajud.tutor,autoavaliacao.x,part.outrocurso,pp001,pp002,pp003,pp004,pp005,pp006,pp007,pp008,pp009,pp010,pp011,pp012,pp013,pp014,pp015,pp016,pp017,pp018,pp019,pp020,pp021,pp022,pp023,pp024,pp025,pp026,pp027,pp028,pp029,pp030,pp031,pp032,pp033,pp034,pp035,pp036,pp037,aprovado,Identificação pessoal com o tema (motivopart),Identificação profissional com o tema (motivopart),Para aquisição de conhecimento na área (motivopart),Pelo fato de o curso ser gratuito (motivopart),Pelo fato de o curso estar vinculado à Universidade (motivopart),Por ser um curso à distância (motivopart),Por ser uma oportunidade de formação continuada (motivopart),Ausência da família (barreiras),Pouca comunicação com os pais (barreiras),Uso de substâncias por familiares (barreiras),Presença de drogas ilícitas no ambiente escolar (barreiras),Proximidade da rede de distribuição de drogas (barreiras),Ausência de limites dos alunos (barreiras),Ausência de colaboração da equipe escolar (barreiras),Ausência de regras no ambiente escolar (barreiras),Possuir alunos interessados na temática (facilitadores),Presença de uma equipe para trabalhar a temática (facilitadores),Estímulo aos alunos (facilitadores),Desenvolvimento de projetos na escola (facilitadores),Apoio aos projetos em desenvolvimento (facilitadores),Presença de regras no ambiente escolar (facilitadores),Promoção de compromisso e confiança (facilitadores),Valorização do ambiente escolar (facilitadores),Participação da comunidade e dos pais no trabalho de prevenção (facilitadores)
3949,42,Feminino,Pós-graduação,Casado (a),Professor (a),7,Católica,Sim,Não,Comunidade,Muito adequado,Flexível,Importante,Muito organizado,Sempre,"Sim, considero",Não,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo totalmente,"Nem discordo, nem concordo",Discordo,"Nem discordo, nem concordo",Discordo,Concordo,"Nem discordo, nem concordo",Concordo,"Nem discordo, nem concordo",Discordo totalmente,Discordo,"Nem discordo, nem concordo","Nem discordo, nem concordo",Concordo,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3952,42,Feminino,Ensino Superior Completo,Casado (a),Professor (a),8,Evangélica,Não,Sim,Escola,Adequado,Flexível,Importante,Muito organizado,Sempre,"Sim, considero",Não,Concordo,Concordo,Concordo,Concordo totalmente,Concordo totalmente,Concordo,Concordo totalmente,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo totalmente,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,"Nem discordo, nem concordo",Discordo totalmente,Concordo totalmente,Concordo,Concordo,"Nem discordo, nem concordo",Discordo totalmente,Discordo,Discordo totalmente,Discordo,Concordo,Sim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3987,40,Feminino,Pós-graduação,Casado (a),Professor (a),20,Católica,Sim,Não,Outros,Muito adequado,Flexível,Importante,Organizado,Sempre,"Sim, considero, porém, poderia estar me esforçando mais",Não,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo totalmente,Concordo totalmente,Discordo totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,"Nem discordo, nem concordo",Concordo,"Nem discordo, nem concordo",Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,"Nem discordo, nem concordo",Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Discordo,Concordo totalmente,Sim,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3993,28,Feminino,Pós-graduação,Casado (a),Professor (a),5,Católica,Sim,Sim,Comunidade,Adequado,Pouco flexível,Importante,Organizado,Sempre,"Sim, considero",Não,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo,Concordo totalmente,Concordo,Discordo,Discordo,Concordo,Discordo,"Nem discordo, nem concordo",Concordo,Discordo,Concordo,Discordo,Concordo,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo totalmente,Discordo,Discordo,Concordo,Concordo,Concordo totalmente,Sim,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
3998,27,Feminino,Pós-graduação,Solteiro (a),Professor (a),2,Católica,Sim,Sim,Escola,Adequado,Pouco flexível,Importante,Organizado,Sempre,"Sim, considero",Sim,Discordo,Concordo totalmente,Concordo,Concordo totalmente,Concordo,Concordo,Concordo totalmente,Discordo,"Nem discordo, nem concordo",Concordo,Discordo,Discordo,Concordo,Discordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,"Nem discordo, nem concordo",Discordo,Concordo totalmente,Discordo totalmente,Discordo totalmente,"Nem discordo, nem concordo",Concordo,Discordo totalmente,"Nem discordo, nem concordo",Concordo,"Nem discordo, nem concordo",Concordo,Discordo,Discordo,Concordo,Concordo,Concordo totalmente,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4016,49,Feminino,Pós-graduação,Casado (a),Professor (a),10,Católica,Sim,Não,Amigos,Muito adequado,Flexível,Importante,Muito organizado,Sempre,"Sim, considero, porém, poderia estar me esforçando mais",Não,Discordo,Concordo,Concordo,Concordo totalmente,Concordo,Concordo,Concordo totalmente,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo,"Nem discordo, nem concordo",Concordo,Discordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Concordo,Discordo totalmente,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Discordo,Concordo totalmente,Não,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4043,44,Feminino,Pós-graduação,Casado (a),Professor (a),25,Católica,Não,Sim,Comunidade,Adequado,Flexível,Muito importante,Organizado,Sempre,"Sim, considero",Sim,Discordo,Concordo,Concordo,Concordo totalmente,Concordo,Concordo totalmente,Concordo totalmente,Discordo,Discordo,Concordo,Discordo,Concordo,Concordo,Discordo,"Nem discordo, nem concordo",Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo totalmente,"Nem discordo, nem concordo",Discordo,Concordo,Discordo totalmente,Concordo,Concordo,Concordo,"Nem discordo, nem concordo",Discordo,Discordo,"Nem discordo, nem concordo",Discordo,Concordo totalmente,Sim,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
4060,52,Feminino,Pós-graduação,Casado (a),Professor (a),23,Católica,Sim,Sim,Família,Adequado,Pouco flexível,Importante,Organizado,Sempre,"Não, não considero",Não,Discordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo,Concordo totalmente,Concordo,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo totalmente,Discordo,Discordo,Concordo,Discordo totalmente,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo,Discordo,Concordo,Sim,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
4069,44,Feminino,Pós-graduação,Casado (a),Professor (a),19,Católica,Sim,Não,Comunidade,Adequado,Flexível,Muito importante,Organizado,Sempre,"Sim, considero",Não,"Nem discordo, nem concordo",Concordo,Concordo,Concordo,Concordo,Concordo totalmente,Concordo,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo totalmente,Concordo,Concordo,"Nem discordo, nem concordo",Concordo totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,"Nem discordo, nem concordo","Nem discordo, nem concordo",Concordo,Discordo,Concordo,"Nem discordo, nem concordo","Nem discordo, nem concordo","Nem discordo, nem concordo",Discordo,Discordo,Discordo,Discordo,Concordo,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4074,54,Feminino,Pós-graduação,Solteiro (a),Professor (a),30,Católica,Sim,Não,Escola,Muito adequado,Flexível,Importante,Organizado,Sempre,"Sim, considero",Não,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,"Nem discordo, nem concordo",Concordo,Discordo,Discordo,Discordo,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Discordo,Concordo,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4106,47,Feminino,Pós-graduação,Casado (a),Professor (a),22,Católica,Não,Sim,Comunidade,Adequado,Flexível,Importante,Organizado,Sempre,"Sim, considero",Não,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo totalmente,Concordo,"Nem discordo, nem concordo",Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo,"Nem discordo, nem concordo",Discordo,Concordo totalmente,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Discordo,Concordo totalmente,Sim,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4112,49,Feminino,Pós-graduação,Casado (a),Orientador (a),24,Católica,Sim,Sim,Escola,Muito adequado,Flexível,Muito importante,Organizado,Sempre,"Sim, considero",Não,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo totalmente,Concordo,Concordo,Concordo,"Nem discordo, nem concordo",Concordo,Discordo,Concordo,"Nem discordo, nem concordo",Concordo,Concordo,Concordo totalmente,Concordo totalmente,Concordo,Discordo totalmente,Discordo,Discordo,Concordo,Discordo totalmente,Concordo totalmente,Concordo,Concordo,"Nem discordo, nem concordo",Discordo,Discordo,Discordo,Discordo,Concordo,Sim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4129,47,Feminino,Pós-graduação,Divorciado (a),Professor (a),10,Católica,Sim,Não,Escola,Adequado,Pouco flexível,Importante,Organizado,Sempre,"Sim, considero",Sim,Discordo,Concordo,Concordo,Concordo totalmente,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo,"Nem discordo, nem concordo",Concordo,Concordo,Concordo,Discordo,Concordo totalmente,"Nem discordo, nem concordo",Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Concordo,Discordo,"Nem discordo, nem concordo",Concordo,Concordo,Concordo,Discordo,Discordo,Concordo,Discordo totalmente,Concordo,Sim,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0
4143,56,Feminino,Pós-graduação,Casado (a),Professor (a),28,Católica,Sim,Não,Escola,Adequado,Flexível,Importante,Muito organizado,Sempre,"Sim, considero",Não,Discordo,Concordo,Concordo totalmente,Concordo totalmente,Concordo,Concordo totalmente,Concordo,"Nem discordo, nem concordo",Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,"Nem discordo, nem concordo",Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo totalmente,Discordo,"Nem discordo, nem concordo","Nem discordo, nem concordo",Discordo,Concordo,Concordo,Concordo,Concordo,Discordo totalmente,Discordo totalmente,Discordo,Discordo,Concordo,Sim,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
4154,54,Feminino,Pós-graduação,Casado (a),Professor (a),12,Católica,Sim,Sim,Comunidade,Muito adequado,Flexível,Importante,Muito organizado,Sempre,"Sim, considero",Não,Discordo,Concordo totalmente,Concordo,Concordo totalmente,Concordo,Concordo totalmente,Concordo totalmente,Discordo totalmente,Discordo,Concordo,Concordo,Concordo,Concordo totalmente,Concordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Discordo,Discordo totalmente,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo totalmente,Discordo,Discordo,Concordo,Não,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0
4157,60,Feminino,Pós-graduação,Casado (a),Professor (a),32,Católica,Sim,Sim,Amigos,Adequado,Flexível,Importante,Organizado,Sempre,"Sim, considero",Não,Discordo,Concordo,Concordo,Concordo,"Nem discordo, nem concordo",Concordo,Concordo,Discordo,Discordo,Concordo,Concordo,Discordo,Concordo,Discordo,Discordo,Discordo,Concordo,Concordo,Discordo,Discordo,Concordo,Concordo,Concordo,Discordo,Concordo,Discordo,Discordo,Discordo totalmente,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo,Discordo,Concordo,Não,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
4158,45,Feminino,Pós-graduação,Casado (a),Professor (a),22,Católica,Sim,Sim,Escola,Adequado,Flexível,Importante,Organizado,Sempre,"Sim, considero",Sim,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,"Nem discordo, nem concordo",Discordo,Concordo,Concordo,Concordo,Concordo,Discordo totalmente,Discordo,Concordo,Concordo,Concordo,Sim,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0
4159,47,Feminino,Ensino Superior Completo,Casado (a),Professor (a),2,Católica,Não,Sim,Comunidade,Muito adequado,Flexível,Muito importante,Muito organizado,Sempre,"Sim, considero",Sim,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo totalmente,Discordo totalmente,Discordo,Concordo,Concordo,Discordo totalmente,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Discordo,Concordo,Sim,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
4165,47,Feminino,Pós-graduação,Casado (a),Professor (a),29,Católica,Sim,Não,Família,Adequado,Flexível,Importante,Organizado,Sempre,"Sim, considero",Não,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,"Nem discordo, nem concordo",Discordo,Concordo,Discordo,Concordo,Concordo,Concordo,"Nem discordo, nem concordo",Concordo,Discordo,Discordo,Discordo,Concordo,Discordo,Concordo,"Nem discordo, nem concordo","Nem discordo, nem concordo",Concordo,Discordo,Discordo,Concordo,Concordo,Concordo,Não,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1
4166,57,Feminino,Pós-graduação,Casado (a),Professor (a),34,Católica,Sim,Sim,Comunidade,Adequado,Flexível,Muito importante,Organizado,Sempre,"Sim, considero",Não,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo,Concordo totalmente,Concordo,Discordo totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo totalmente,Discordo,Discordo,Concordo,Discordo totalmente,Concordo,"Nem discordo, nem concordo",Concordo,Concordo,Discordo,Discordo,Concordo,Discordo,Concordo,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4181,41,Feminino,Pós-graduação,Casado (a),Professor (a),11,Católica,Não,Não,Amigos,Muito adequado,Flexível,Importante,Muito organizado,Às vezes,"Sim, considero, porém, poderia estar me esforçando mais",Não,Discordo,Concordo,Concordo totalmente,Concordo totalmente,Concordo,Concordo,Concordo totalmente,Discordo totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo totalmente,Discordo totalmente,Discordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Discordo,Concordo totalmente,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4188,53,Feminino,Pós-graduação,Divorciado (a),Professor (a),30,Católica,Sim,Sim,Escola,Muito adequado,Flexível,Importante,Muito organizado,Sempre,"Sim, considero",Sim,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo,Concordo totalmente,Concordo totalmente,Discordo totalmente,Concordo,Concordo,Concordo totalmente,Concordo,Concordo,Concordo,"Nem discordo, nem concordo",Concordo,Concordo totalmente,Discordo totalmente,Concordo,Concordo,Concordo,Concordo,Concordo totalmente,Discordo totalmente,Discordo totalmente,"Nem discordo, nem concordo",Concordo,Discordo totalmente,Concordo totalmente,Concordo,Concordo,Concordo,Discordo,Discordo totalmente,Discordo,Discordo,Concordo totalmente,Sim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4191,48,Feminino,Pós-graduação,Casado (a),Professor (a),26,Católica,Sim,Não,Comunidade,Adequado,Flexível,Importante,Organizado,Sempre,"Sim, considero",Não,Discordo,Concordo,Concordo totalmente,Concordo,Concordo,Concordo totalmente,Concordo totalmente,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Discordo totalmente,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo totalmente,Discordo,Discordo,"Nem discordo, nem concordo",Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Discordo,Concordo,Sim,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0
4201,59,Feminino,Ensino Superior Completo,Casado (a),Professor (a),30,Católica,Sim,Sim,Escola,Adequado,Flexível,Muito importante,Organizado,Sempre,"Sim, considero",Não,Discordo totalmente,Concordo,Concordo,Concordo totalmente,"Nem discordo, nem concordo",Concordo,Concordo totalmente,Discordo totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,"Nem discordo, nem concordo",Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,"Nem discordo, nem concordo",Discordo,Discordo,Discordo,Concordo,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4228,49,Feminino,Pós-graduação,Casado (a),Outros,29,Católica,Não,Sim,Comunidade,Muito adequado,Flexível,Importante,Muito organizado,Sempre,"Sim, considero, porém, poderia estar me esforçando mais",Não,Discordo,Concordo,Concordo totalmente,Concordo,"Nem discordo, nem concordo",Concordo totalmente,Concordo,Discordo totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Concordo,Discordo totalmente,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo totalmente,Discordo,Discordo,Concordo,Sim,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
4229,48,Feminino,Pós-graduação,Casado (a),Professor (a),15,Católica,Sim,Sim,Comunidade,Muito adequado,Flexível,Muito importante,Organizado,Sempre,"Sim, considero, porém, poderia estar me esforçando mais",Sim,Discordo,Concordo,Concordo,Concordo totalmente,Concordo,Concordo totalmente,Concordo totalmente,"Nem discordo, nem concordo",Discordo,Concordo,Concordo,Concordo,Concordo,"Nem discordo, nem concordo",Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,"Nem discordo, nem concordo","Nem discordo, nem concordo",Discordo,Concordo,Concordo,Concordo,"Nem discordo, nem concordo",Discordo,Discordo,Discordo,Discordo,Concordo,Sim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4238,49,Feminino,Pós-graduação,Divorciado (a),Diretor (a),20,Católica,Sim,Sim,Escola,Muito adequado,Muito flexível,Importante,Muito organizado,Sempre,"Sim, considero, porém, poderia estar me esforçando mais",Sim,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,"Nem discordo, nem concordo",Concordo,"Nem discordo, nem concordo",Concordo,Concordo,Discordo,Discordo,Discordo,Concordo,Discordo,Concordo,Concordo,"Nem discordo, nem concordo",Concordo,Discordo,Discordo,Discordo,Discordo,Concordo,Sim,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
4250,53,Masculino,Pós-graduação,Casado (a),Professor (a),23,Católica,Sim,Sim,Família,Adequado,Flexível,Importante,Organizado,Sempre,"Não, não considero",Não,Discordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo,Concordo totalmente,Concordo totalmente,Discordo totalmente,Discordo,Concordo,"Nem discordo, nem concordo",Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Discordo,Concordo,Discordo totalmente,Discordo,Discordo,Concordo,Discordo totalmente,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Discordo,Concordo,Não,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
4265,55,Feminino,Pós-graduação,Casado (a),Professor (a),18,Católica,Sim,Sim,Comunidade,Adequado,Flexível,Importante,Muito organizado,Sempre,"Sim, considero",Não,Discordo totalmente,Concordo,Concordo,Concordo,Concordo,Concordo totalmente,Concordo totalmente,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo totalmente,Concordo,Concordo,Concordo,Concordo,Discordo,Concordo,Discordo,Discordo,Discordo,Concordo,Discordo totalmente,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo,Concordo,Concordo,Sim,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4267,46,Feminino,Pós-graduação,Casado (a),Outros,28,Católica,Sim,Não,Comunidade,Adequado,Flexível,Importante,Organizado,Sempre,"Sim, considero",Não,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo totalmente,Concordo totalmente,Discordo totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo totalmente,Discordo totalmente,Discordo totalmente,"Nem discordo, nem concordo",Concordo,Discordo totalmente,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Discordo,Discordo,Concordo totalmente,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4280,35,Feminino,Pós-graduação,Casado (a),Professor (a),4,Católica,Sim,Sim,Escola,Muito adequado,Flexível,Importante,Organizado,Sempre,"Sim, considero",Não,Concordo,Concordo totalmente,Concordo,Concordo totalmente,Concordo,Concordo totalmente,Concordo totalmente,Discordo,Discordo,Concordo,"Nem discordo, nem concordo",Concordo,Concordo,"Nem discordo, nem concordo",Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Concordo,Concordo,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4281,31,Feminino,Ensino Superior Completo,Solteiro (a),Outros,1,Católica,Sim,Sim,Escola,Adequado,Flexível,Importante,Organizado,Sempre,"Sim, considero, porém, poderia estar me esforçando mais",Sim,Discordo,Concordo,Concordo totalmente,Concordo totalmente,Concordo,Concordo totalmente,Concordo totalmente,Discordo totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo totalmente,Discordo,"Nem discordo, nem concordo","Nem discordo, nem concordo",Discordo totalmente,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Discordo,Concordo,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4287,49,Feminino,Pós-graduação,Casado (a),Professor (a),15,Católica,Sim,Sim,Comunidade,Adequado,Pouco flexível,Importante,Muito organizado,Sempre,"Sim, considero",Sim,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo totalmente,Discordo,Discordo,Concordo totalmente,Concordo,Concordo,Concordo,"Nem discordo, nem concordo",Concordo,"Nem discordo, nem concordo",Concordo,"Nem discordo, nem concordo",Concordo,Concordo,"Nem discordo, nem concordo",Concordo,Concordo,Discordo totalmente,"Nem discordo, nem concordo","Nem discordo, nem concordo","Nem discordo, nem concordo",Discordo totalmente,"Nem discordo, nem concordo",Concordo,"Nem discordo, nem concordo",Concordo,Discordo,Discordo,"Nem discordo, nem concordo",Discordo,Concordo totalmente,Não,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1
